7 1 0 11
1 2 0 0
0 5 4 1
0 0 1 10
0 9 5 0
0 2 3 8
4 6 7 3
8 11 0 0
9 0 10 6


#A partir de aquí no lo lee el programa.
#Puzzle de ejemplo resuelto:

    0     |    0     |     0
0        1|1        5|5          0
____2_____|____4_____|_____9_____
    2     |    4     |     9
0        3|3        6|6          0
____8_____|____7_____|____10_____
    8     |    7     |    10
0       11|11       1|1          0
    0     |    0     |     0

#Salida del programa:
0 1 2 0
0 5 4 1
0 0 9 5
2 3 8 0
4 6 7 3
9 0 10 6
8 11 0 0
7 1 0 11
10 0 0 1
